Menu Item,Key Ingredients,Vitamin C,Vitamin B12,Omega 3,Magnesium,Choline,Polyphenols,Soluble Fiber
Shrimp Tacos,Shrimp,,,X,,X,,
"Tacos (chicken, beef)","Chicken, Beef",,X,,,X,,
"Enchiladas (chicken, beef)","Chicken, Beef",,X,,,X,X,
Burritos,"Chicken, Beef",,X,,,X,,
Chilaquiles,,,,,,,,
Tamales,Masa Harina (Corn),,,,X,X,,X
Quesadillas,,,,,,,,
Sopes,,,,,,,,
Tortas,,,,,,,,
Chile Relleno,,,,,,,,
Tostadas,,,,,,,,
"Fajitas (chicken, beef, shrimp)","Chicken, Beef, Shrimp, Peppers, Onions",X,X,X,,X,,
Huaraches,"Pinto Beans, Corn",,,,X,X,X,X
Pozole,Hominy,,,,X,X,,X
Nachos,,,,,,,,
Carne Asada,Beef,,X,,,X,,
Elote,Corn,,,,X,X,X,X
Flautas,,,,,,,,
Chiles en Nogada,"Walnut (sauce), Poblano Pepper",X,,,X,,X,X
Chile con Queso,,,,,,,,
Molletes,"Pinto Beans, Salsa, Cheese",X,,,X,,X,X
Pambazos,"Chorizo, Potato",X,,,X,,,
Pupusas,,,,,,,,
Salsa,Tomatoes,X,,,,,X,
Ceviche,Fish,,,X,,X,,
Chalupas,,,,,,,,
